N,spots,strike,tau,type,ask,vol,time
10,5.552900000000000e+02,5.350000000000000e+02,4.383561643835616e-02,P,1.800000000000000e+00,1.791816711425782e-01,3.400000000000000e+01
10,5.552900000000000e+02,5.500000000000000e+02,4.383561643835616e-02,P,5.600000000000000e+00,1.698642730712891e-01,3.600000000000000e+01
100,5.492100000000000e+02,5.500000000000000e+02,4.931506849315068e-02,C,8.199999999999999e+00,1.748607635498047e-01,7.140000000000000e+02
100,5.492100000000000e+02,5.600000000000000e+02,4.931506849315068e-02,C,4.100000000000000e+00,1.700561523437500e-01,5.500000000000000e+02
100,5.492100000000000e+02,5.650000000000000e+02,4.931506849315068e-02,C,2.700000000000000e+00,1.678123474121094e-01,6.830000000000000e+02
100,5.492100000000000e+02,5.700000000000000e+02,4.931506849315068e-02,C,1.800000000000000e+00,1.694099426269531e-01,7.060000000000000e+02
100,5.492100000000000e+02,5.800000000000000e+02,4.931506849315068e-02,C,8.000000000000000e-01,1.750213623046875e-01,6.760000000000000e+02
100,5.492100000000000e+02,5.000000000000000e+02,4.931506849315068e-02,P,4.000000000000000e-01,2.368560791015625e-01,4.510000000000000e+02
100,5.492100000000000e+02,5.500000000000000e+02,4.931506849315068e-02,P,8.900000000000000e+00,1.757972717285156e-01,4.940000000000000e+02
100,5.539500000000000e+02,5.400000000000000e+02,4.657534246575343e-02,C,1.940000000000000e+01,2.321361541748047e-01,5.160000000000000e+02
100,5.539500000000000e+02,5.450000000000000e+02,4.657534246575343e-02,C,1.390000000000000e+01,1.825328826904297e-01,7.130000000000000e+02
100,5.539500000000000e+02,5.500000000000000e+02,4.657534246575343e-02,C,1.060000000000000e+01,1.769184112548828e-01,5.180000000000000e+02
100,5.539500000000000e+02,5.600000000000000e+02,4.657534246575343e-02,C,5.500000000000000e+00,1.689327239990235e-01,5.340000000000000e+02
100,5.539500000000000e+02,5.650000000000000e+02,4.657534246575343e-02,C,3.800000000000000e+00,1.684322357177734e-01,6.820000000000000e+02
100,5.539500000000000e+02,5.700000000000000e+02,4.657534246575343e-02,C,2.450000000000000e+00,1.661342620849610e-01,7.330000000000000e+02
100,5.539500000000000e+02,5.800000000000000e+02,4.657534246575343e-02,C,1.000000000000000e+00,1.671325683593750e-01,6.140000000000000e+02
100,5.539500000000000e+02,5.850000000000000e+02,4.657534246575343e-02,C,6.500000000000000e-01,1.705062866210938e-01,6.770000000000000e+02
100,5.539500000000000e+02,5.900000000000000e+02,4.657534246575343e-02,C,5.000000000000000e-01,1.807662963867188e-01,5.940000000000000e+02
100,5.539500000000000e+02,6.000000000000000e+02,4.657534246575343e-02,C,2.000000000000000e-01,1.863494873046875e-01,6.560000000000000e+02
100,5.539500000000000e+02,5.350000000000000e+02,4.657534246575343e-02,P,2.250000000000000e+00,1.840679168701172e-01,7.450000000000000e+02
100,5.539500000000000e+02,5.400000000000000e+02,4.657534246575343e-02,P,3.200000000000000e+00,1.790290832519532e-01,7.200000000000000e+02
100,5.539500000000000e+02,5.500000000000000e+02,4.657534246575343e-02,P,6.300000000000000e+00,1.722324371337891e-01,8.280000000000000e+02
100,5.552900000000000e+02,5.500000000000000e+02,4.383561643835616e-02,C,1.090000000000000e+01,1.709632873535156e-01,8.060000000000000e+02
100,5.552900000000000e+02,5.600000000000000e+02,4.383561643835616e-02,C,5.600000000000000e+00,1.645999908447266e-01,8.200000000000000e+02
100,5.552900000000000e+02,5.700000000000000e+02,4.383561643835616e-02,C,2.400000000000000e+00,1.610984802246094e-01,7.990000000000000e+02
100,5.552900000000000e+02,5.250000000000000e+02,4.383561643835616e-02,P,8.500000000000000e-01,1.953262329101562e-01,7.200000000000000e+02
100,5.552900000000000e+02,5.350000000000000e+02,4.383561643835616e-02,P,1.800000000000000e+00,1.824234008789063e-01,5.580000000000000e+02
100,5.552900000000000e+02,5.500000000000000e+02,4.383561643835616e-02,P,5.600000000000000e+00,1.734786987304688e-01,6.590000000000000e+02
1000,5.492100000000000e+02,5.500000000000000e+02,4.931506849315068e-02,C,8.199999999999999e+00,1.750644683837891e-01,3.973400000000000e+04
1000,5.492100000000000e+02,5.600000000000000e+02,4.931506849315068e-02,C,4.100000000000000e+00,1.703536987304687e-01,3.165500000000000e+04
1000,5.492100000000000e+02,5.650000000000000e+02,4.931506849315068e-02,C,2.700000000000000e+00,1.677093505859375e-01,3.210800000000000e+04
1000,5.492100000000000e+02,5.700000000000000e+02,4.931506849315068e-02,C,1.800000000000000e+00,1.688560485839844e-01,3.229900000000000e+04
1000,5.492100000000000e+02,5.800000000000000e+02,4.931506849315068e-02,C,8.000000000000000e-01,1.745117187500000e-01,2.263400000000000e+04
1000,5.492100000000000e+02,5.000000000000000e+02,4.931506849315068e-02,P,4.000000000000000e-01,2.365142822265625e-01,2.990400000000000e+04
1000,5.492100000000000e+02,5.500000000000000e+02,4.931506849315068e-02,P,8.900000000000000e+00,1.760017395019531e-01,3.526400000000000e+04
1000,5.539500000000000e+02,5.400000000000000e+02,4.657534246575343e-02,C,1.940000000000000e+01,2.326217651367187e-01,3.028500000000000e+04
1000,5.539500000000000e+02,5.450000000000000e+02,4.657534246575343e-02,C,1.390000000000000e+01,1.820266723632813e-01,3.245300000000000e+04
1000,5.539500000000000e+02,5.500000000000000e+02,4.657534246575343e-02,C,1.060000000000000e+01,1.768505096435547e-01,3.665500000000000e+04
1000,5.539500000000000e+02,5.600000000000000e+02,4.657534246575343e-02,C,5.500000000000000e+00,1.693435668945313e-01,3.453700000000000e+04
1000,5.539500000000000e+02,5.650000000000000e+02,4.657534246575343e-02,C,3.800000000000000e+00,1.685497283935547e-01,3.368700000000000e+04
1000,5.539500000000000e+02,5.700000000000000e+02,4.657534246575343e-02,C,2.450000000000000e+00,1.657440185546875e-01,3.064800000000000e+04
1000,5.539500000000000e+02,5.800000000000000e+02,4.657534246575343e-02,C,1.000000000000000e+00,1.672813415527344e-01,3.271000000000000e+04
1000,5.539500000000000e+02,5.850000000000000e+02,4.657534246575343e-02,C,6.500000000000000e-01,1.705932617187500e-01,2.734600000000000e+04
1000,5.539500000000000e+02,5.900000000000000e+02,4.657534246575343e-02,C,5.000000000000000e-01,1.803573608398437e-01,3.035800000000000e+04
1000,5.539500000000000e+02,6.000000000000000e+02,4.657534246575343e-02,C,2.000000000000000e-01,1.852844238281250e-01,2.888900000000000e+04
1000,5.539500000000000e+02,5.350000000000000e+02,4.657534246575343e-02,P,2.250000000000000e+00,1.842407226562500e-01,2.558500000000000e+04
1000,5.539500000000000e+02,5.400000000000000e+02,4.657534246575343e-02,P,3.200000000000000e+00,1.791397094726563e-01,3.303900000000000e+04
1000,5.539500000000000e+02,5.500000000000000e+02,4.657534246575343e-02,P,6.300000000000000e+00,1.721084594726563e-01,3.025700000000000e+04
1000,5.552900000000000e+02,5.500000000000000e+02,4.383561643835616e-02,C,1.090000000000000e+01,1.712409973144531e-01,3.297500000000000e+04
1000,5.552900000000000e+02,5.600000000000000e+02,4.383561643835616e-02,C,5.600000000000000e+00,1.648662567138672e-01,3.289000000000000e+04
1000,5.552900000000000e+02,5.700000000000000e+02,4.383561643835616e-02,C,2.400000000000000e+00,1.608039855957031e-01,3.390900000000000e+04
1000,5.552900000000000e+02,5.250000000000000e+02,4.383561643835616e-02,P,8.500000000000000e-01,1.952270507812500e-01,2.602000000000000e+04
1000,5.552900000000000e+02,5.350000000000000e+02,4.383561643835616e-02,P,1.800000000000000e+00,1.824272155761719e-01,3.384400000000000e+04
1000,5.552900000000000e+02,5.500000000000000e+02,4.383561643835616e-02,P,5.600000000000000e+00,1.737277984619141e-01,3.288200000000000e+04
10000,5.492100000000000e+02,5.500000000000000e+02,4.931506849315068e-02,C,8.199999999999999e+00,1.750740051269531e-01,3.420010000000000e+06
10000,5.492100000000000e+02,5.600000000000000e+02,4.931506849315068e-02,C,4.100000000000000e+00,1.703788757324219e-01,3.422038000000000e+06
10000,5.492100000000000e+02,5.650000000000000e+02,4.931506849315068e-02,C,2.700000000000000e+00,1.677135467529297e-01,3.593365000000000e+06
10000,5.492100000000000e+02,5.700000000000000e+02,4.931506849315068e-02,C,1.800000000000000e+00,1.688415527343750e-01,2.953201000000000e+06
10000,5.492100000000000e+02,5.800000000000000e+02,4.931506849315068e-02,C,8.000000000000000e-01,1.745315551757813e-01,3.285561000000000e+06
10000,5.492100000000000e+02,5.000000000000000e+02,4.931506849315068e-02,P,4.000000000000000e-01,2.364349365234375e-01,3.110788000000000e+06
10000,5.492100000000000e+02,5.500000000000000e+02,4.931506849315068e-02,P,8.900000000000000e+00,1.760112762451172e-01,3.511696000000000e+06
10000,5.539500000000000e+02,5.400000000000000e+02,4.657534246575343e-02,C,1.940000000000000e+01,2.326515197753906e-01,3.382116000000000e+06
10000,5.539500000000000e+02,5.450000000000000e+02,4.657534246575343e-02,C,1.390000000000000e+01,1.820632934570313e-01,3.194912000000000e+06
10000,5.539500000000000e+02,5.500000000000000e+02,4.657534246575343e-02,C,1.060000000000000e+01,1.768680572509766e-01,3.475268000000000e+06
10000,5.539500000000000e+02,5.600000000000000e+02,4.657534246575343e-02,C,5.500000000000000e+00,1.693298339843750e-01,2.843648000000000e+06
10000,5.539500000000000e+02,5.650000000000000e+02,4.657534246575343e-02,C,3.800000000000000e+00,1.685607910156250e-01,2.830724000000000e+06
10000,5.539500000000000e+02,5.700000000000000e+02,4.657534246575343e-02,C,2.450000000000000e+00,1.657424926757813e-01,3.144112000000000e+06
10000,5.539500000000000e+02,5.800000000000000e+02,4.657534246575343e-02,C,1.000000000000000e+00,1.672874450683594e-01,3.324664000000000e+06
10000,5.539500000000000e+02,5.850000000000000e+02,4.657534246575343e-02,C,6.500000000000000e-01,1.705993652343750e-01,2.867056000000000e+06
10000,5.539500000000000e+02,5.900000000000000e+02,4.657534246575343e-02,C,5.000000000000000e-01,1.803253173828125e-01,3.273664000000000e+06
10000,5.539500000000000e+02,6.000000000000000e+02,4.657534246575343e-02,C,2.000000000000000e-01,1.852355957031250e-01,3.016692000000000e+06
10000,5.539500000000000e+02,5.350000000000000e+02,4.657534246575343e-02,P,2.250000000000000e+00,1.842742919921875e-01,3.242640000000000e+06
10000,5.539500000000000e+02,5.400000000000000e+02,4.657534246575343e-02,P,3.200000000000000e+00,1.791473388671875e-01,3.099456000000000e+06
10000,5.539500000000000e+02,5.500000000000000e+02,4.657534246575343e-02,P,6.300000000000000e+00,1.721122741699219e-01,3.367128000000000e+06
10000,5.552900000000000e+02,5.500000000000000e+02,4.383561643835616e-02,C,1.090000000000000e+01,1.712070465087891e-01,3.536256000000000e+06
10000,5.552900000000000e+02,5.600000000000000e+02,4.383561643835616e-02,C,5.600000000000000e+00,1.648357391357422e-01,3.646832000000000e+06
10000,5.552900000000000e+02,5.700000000000000e+02,4.383561643835616e-02,C,2.400000000000000e+00,1.608318328857422e-01,3.600024000000000e+06
10000,5.552900000000000e+02,5.250000000000000e+02,4.383561643835616e-02,P,8.500000000000000e-01,1.952484130859375e-01,3.140344000000000e+06
10000,5.552900000000000e+02,5.350000000000000e+02,4.383561643835616e-02,P,1.800000000000000e+00,1.824291229248047e-01,3.560152000000000e+06
10000,5.552900000000000e+02,5.500000000000000e+02,4.383561643835616e-02,P,5.600000000000000e+00,1.736900329589844e-01,3.597224000000000e+06
100000,5.492100000000000e+02,5.500000000000000e+02,4.931506849315068e-02,C,8.199999999999999e+00,1.750785827636719e-01,3.243133760000000e+08
100000,5.492100000000000e+02,5.600000000000000e+02,4.931506849315068e-02,C,4.100000000000000e+00,1.703815460205078e-01,3.360940800000000e+08
100000,5.492100000000000e+02,5.650000000000000e+02,4.931506849315068e-02,C,2.700000000000000e+00,1.677162170410156e-01,3.182410880000000e+08
100000,5.492100000000000e+02,5.700000000000000e+02,4.931506849315068e-02,C,1.800000000000000e+00,1.688400268554688e-01,3.076490880000000e+08
100000,5.492100000000000e+02,5.800000000000000e+02,4.931506849315068e-02,C,8.000000000000000e-01,1.745246887207031e-01,3.188421120000000e+08
100000,5.492100000000000e+02,5.000000000000000e+02,4.931506849315068e-02,P,4.000000000000000e-01,2.364318847656250e-01,2.753364480000000e+08
100000,5.492100000000000e+02,5.500000000000000e+02,4.931506849315068e-02,P,8.900000000000000e+00,1.760158538818360e-01,3.398247680000000e+08
100000,5.539500000000000e+02,5.400000000000000e+02,4.657534246575343e-02,C,1.940000000000000e+01,2.326560974121094e-01,3.199393280000000e+08
100000,5.539500000000000e+02,5.450000000000000e+02,4.657534246575343e-02,C,1.390000000000000e+01,1.820594787597656e-01,3.188935680000000e+08
100000,5.539500000000000e+02,5.500000000000000e+02,4.657534246575343e-02,C,1.060000000000000e+01,1.768703460693360e-01,3.352130560000000e+08
100000,5.539500000000000e+02,5.600000000000000e+02,4.657534246575343e-02,C,5.500000000000000e+00,1.693336486816406e-01,3.198343680000000e+08
100000,5.539500000000000e+02,5.650000000000000e+02,4.657534246575343e-02,C,3.800000000000000e+00,1.685623168945313e-01,3.049733120000000e+08
100000,5.539500000000000e+02,5.700000000000000e+02,4.657534246575343e-02,C,2.450000000000000e+00,1.657463073730469e-01,3.214940160000000e+08
100000,5.539500000000000e+02,5.800000000000000e+02,4.657534246575343e-02,C,1.000000000000000e+00,1.672866821289063e-01,3.081264640000000e+08
100000,5.539500000000000e+02,5.850000000000000e+02,4.657534246575343e-02,C,6.500000000000000e-01,1.705993652343750e-01,2.749680640000000e+08
100000,5.539500000000000e+02,5.900000000000000e+02,4.657534246575343e-02,C,5.000000000000000e-01,1.803237915039063e-01,3.095603200000000e+08
100000,5.539500000000000e+02,6.000000000000000e+02,4.657534246575343e-02,C,2.000000000000000e-01,1.852355957031250e-01,2.766172160000000e+08
100000,5.539500000000000e+02,5.350000000000000e+02,4.657534246575343e-02,P,2.250000000000000e+00,1.842708587646485e-01,3.323008000000000e+08
100000,5.539500000000000e+02,5.400000000000000e+02,4.657534246575343e-02,P,3.200000000000000e+00,1.791500091552735e-01,3.268264960000000e+08
100000,5.539500000000000e+02,5.500000000000000e+02,4.657534246575343e-02,P,6.300000000000000e+00,1.721080780029297e-01,3.331399680000000e+08
100000,5.552900000000000e+02,5.500000000000000e+02,4.383561643835616e-02,C,1.090000000000000e+01,1.712085723876953e-01,3.341480960000000e+08
100000,5.552900000000000e+02,5.600000000000000e+02,4.383561643835616e-02,C,5.600000000000000e+00,1.648365020751953e-01,3.293296640000000e+08
100000,5.552900000000000e+02,5.700000000000000e+02,4.383561643835616e-02,C,2.400000000000000e+00,1.608337402343750e-01,2.923166720000000e+08
100000,5.552900000000000e+02,5.250000000000000e+02,4.383561643835616e-02,P,8.500000000000000e-01,1.952453613281250e-01,3.012336640000000e+08
100000,5.552900000000000e+02,5.350000000000000e+02,4.383561643835616e-02,P,1.800000000000000e+00,1.824256896972656e-01,3.501568000000000e+08
100000,5.552900000000000e+02,5.500000000000000e+02,4.383561643835616e-02,P,5.600000000000000e+00,1.736938476562500e-01,2.853196800000000e+08
